M039,"FAMOSO CLOTHING CO.,","NO. A-7-1, MINGALARDON INDUSTRIAL PARK, MINGALARDON TSP."
M040,"FASHION FOUR SEASONS CO.,","PLOT NO.(321), KANAUNG (7)ST, SHWE PAUKKAN INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M041,FIRST IMAGE GARMENT,"NO.(15/16) KYANSITTHAR ST, I.Z, NORTH OKKALAPA."
M042,"FOREMOST MFG., CO.,","NO.39, WARD, NO (2) PART, INDUSTRIAL ZONE (2), HLAING THARYAR TSP, YANGON."
M043,"GARMENT & PROCESS GLOBLE CO.,","42/106 , CHERRY ST, INDUSTRIES ZONE (1), SHWE PYI THAR TSP, YANGON."
M044,"GENERAL ENTERPRISES GARMENT CO.,","PLOT NO. (59), MYAY TAING QUARTER NO.113, KANAUNG MINTHARGYI ST, INDUSTRIAL ZONE, EAST DAGON MYOTHIT TSP, YANGON."
M045,"GLOWING & WIN INVESTMENT CO.,","NO.(272~273, 276~277), NAYAUNG YAN STREET, YANGON INDUSTRIAL ZONE, MINGALARDON TSP, YANGON."
M046,"GOLD YACHT CO.,","82, TWIN THIN TAIK WUN U TUN NYO ST, I.Z(1), HLAING THARYAR."
M047,"GOLDEN 5 GARMENT MFG. CO.,","12-14/ KANT KAW ST, SHWE PAUKKAN I.Z, NORTH OKKALAPA."
M048,"GOLDEN JASMINE INTIMATES MFG CO.,",NO 127. PHAN CHAT WUN U NYO ST.HLAINGTHARYAR T/S.
M049,"GOLDEN JASMINE INTIMATES MFG INT'L CO.,","NO.103, WARD NO.14, MINGYI MAHAR MIN KHAUNG STREET, SHWE THAN LWIN INDUSTRIAL ZONE, HLAING THARYAR TOWNSHIP, YANGON."
M050,"GOLDEN SHINE  CO.,","NO.73 & 74, MINGALARDON GARDEN CITY, YANGON INDUSTRIAL ZONE, NORTH OKKALAPA TSP,YANGON."
M051,"GOLDEN TROGON INDUSTRY CO.,","(SHWE ZARMANY GARMENT) 663/ MEIZEEGONE ST, HLAING TSP."
M052,"GOOD FORTUNE GARMENT CO.,","24/ KANAUNG MINTHARGYI ST, I.Z(2), DAGON SEIKKAN."
M053,"GRAND SPORTS CO.,","NO.53(B), 42 QUARTER, INDUSTRIAL ZONE (1), SHWE PYI THAR TSP."
M054,"GREAT FOREVER GARMENT CO.,","41 B, KANAUNG MINTHARGYI ST, I.ZONE(3), HLAING THARYAR"
M055,"GREAT GLOWING INVESTMENT CO.,","PLOT NO. (340,341), YANGON INDUSTRIAL ZONE, MINGALARDON GARDON CITY, MINGALARDON TOWNSHIP, YANGON."
M056,"GREAT LUCKY STAR GARMENT MANUFACTURING CO.,","NO.42/ 24+25, SET MU ROAD, INDUSTRIA ZONE (1), SHWE PYI THAR TSP, YANGON."
M057,"GREAT WORLD WIDE CO.,","NO.18/A, 1ST FLOOR, ROOM NO. (3/4), BOYAR NYUNT ST, DAGON TSP. 99/KOE LONE KWIN VILLAGE, PYAY RD, HMAWBI."
M058,"HALLMARK MANUFACTURING CO.,","NO.52/A, MYA TAUNG WUN GYI U HMO ST, INDUSTRIAL ZONE(1), HLAINGTHARYAR TSP, YANGON."
M059,"HALLMARK MANUFACTURING CO.,","NO.52/A, MYA TAUNG WUN GYI U HMO ST, INDUSTRIAL ZONE(1), HLAINGTHARYAR TSP, YANGON."
M060,"HANJEN MFG., CO.,","NO.306 (B), 42ND WARD, INDUSTRIAL ZONE, SHWE PYI THAR TSP, YANGON."
M061,"HARMONY MYANMAR CO.,","NO. (182/3+4) BAMAW AHDWIN WUN ST, SHWE LINBAN INDUSTRIAL ZONE, HLAINGTHARYAR TSP."
M062,"HERCULES GARMENT MFG. CO.,","NO.2 MAIN RD, LAYDAUKAN SAN PYA VILLAGE, AUNG THUKHA SAN SAT WUN EAST DAGON TSP."
M063,HONEY CLUB INDUSTRY,"NO.(132), YANGON INDUSTRY ZONE(1), MINGALARDONE GARDEN CITY, YANGON."
M064,"HONEY GARMENT CO.,","NO.132,YANGON INDUSTRY ZONE(1),MINGALARDON GARDEN CITY,MIGALARDON TSP, YANGON"
M065,"HONG TEX CO.,","NO.(457&460), YAW AH TWIN WON U PHO HLAING STREET, SHWE LIN PAN INDUSTRIAL ZONE,HLAING THAR YAR TSP, YANGON"
M066,"HOPE ONE CO.,","PLOT NO. (48) MYAY TAING OUARTER.NO 25, TWIN THINN TIKE WUN U TUN NYO ST, SHWE LIN PAN I.Z, HLAING THARYAR TSP, YANGON."
M067,HUNG KIU (MYANMAR) GARMENT MFG;,"NO. (35/9) YANGON-MANDALY ROAD INNDAKAW VILLAGE, BAGO TSP,BAGO REGION"
M068,"HYDRODYNAMIC INDUSTRIAL (M) CO.,","PLOT NO (464/B), MYAY TAING QUARTER , NO.25, SHWE LIN PAN INDUSTRIAL ZONE, HLAING THARYAR TSP, YANGON."
M069,"INZALI THIDAR CO.,","NO. (314, 315), KANAUNG 8TH STREET, SHWE PAUK KAN INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M070,IRRAWADDY DELTA INDUSTRIES CO.,", NO.(145/A) MYA TAUNG WUN GYI U MOHE STREET, HLAING THARYAR ZONE (2),YGN."
M071,"JEWOO MFG., CO.,","104-107-108/ MYAMARLAR ST., I.Z, THAKETA TSP."
